run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.10_a0.00_s0,0,prisoners,HRG,1000,3.998,1.1,0.0,1.0,1.0,random,0.5,False,10000,0.26
prisoners_HRG_T1.10_a0.00_s0,0,prisoners,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.207
prisoners_HRG_T1.10_a0.00_s1,1,prisoners,HRG,1000,3.998,1.1,0.0,1.0,1.0,random,0.5,False,10000,0.225
prisoners_HRG_T1.10_a0.00_s1,1,prisoners,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.232
prisoners_HRG_T1.10_a0.00_s2,2,prisoners,HRG,1000,4.0,1.1,0.0,1.0,1.0,random,0.5,False,10000,0.237
prisoners_HRG_T1.10_a0.00_s2,2,prisoners,HRG,1000,4.0,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.233
prisoners_HRG_T1.10_a0.00_s3,3,prisoners,HRG,1000,4.0,1.1,0.0,1.0,1.0,random,0.5,False,10000,0.184
prisoners_HRG_T1.10_a0.00_s3,3,prisoners,HRG,1000,4.0,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.225
prisoners_HRG_T1.10_a0.00_s4,4,prisoners,HRG,1000,3.998,1.1,0.0,1.0,1.0,random,0.5,False,10000,0.27
prisoners_HRG_T1.10_a0.00_s4,4,prisoners,HRG,1000,3.998,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.209
prisoners_HRG_T1.10_a0.30_s0,0,prisoners,HRG,1000,3.998,1.1,0.3,1.0,1.0,random,0.5,False,10000,0.287
prisoners_HRG_T1.10_a0.30_s0,0,prisoners,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.314
prisoners_HRG_T1.10_a0.30_s1,1,prisoners,HRG,1000,3.998,1.1,0.3,1.0,1.0,random,0.5,False,10000,0.27
prisoners_HRG_T1.10_a0.30_s1,1,prisoners,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.316
prisoners_HRG_T1.10_a0.30_s2,2,prisoners,HRG,1000,4.0,1.1,0.3,1.0,1.0,random,0.5,False,10000,0.284
prisoners_HRG_T1.10_a0.30_s2,2,prisoners,HRG,1000,4.0,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.319
prisoners_HRG_T1.10_a0.30_s3,3,prisoners,HRG,1000,4.0,1.1,0.3,1.0,1.0,random,0.5,False,10000,0.257
prisoners_HRG_T1.10_a0.30_s3,3,prisoners,HRG,1000,4.0,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.342
prisoners_HRG_T1.10_a0.30_s4,4,prisoners,HRG,1000,3.998,1.1,0.3,1.0,1.0,random,0.5,False,10000,0.332
prisoners_HRG_T1.10_a0.30_s4,4,prisoners,HRG,1000,3.998,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.318
prisoners_HRG_T1.10_a0.50_s0,0,prisoners,HRG,1000,3.998,1.1,0.5,1.0,1.0,random,0.5,False,10000,0.357
prisoners_HRG_T1.10_a0.50_s0,0,prisoners,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.402
prisoners_HRG_T1.10_a0.50_s1,1,prisoners,HRG,1000,3.998,1.1,0.5,1.0,1.0,random,0.5,False,10000,0.367
prisoners_HRG_T1.10_a0.50_s1,1,prisoners,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.364
prisoners_HRG_T1.10_a0.50_s2,2,prisoners,HRG,1000,4.0,1.1,0.5,1.0,1.0,random,0.5,False,10000,0.303
prisoners_HRG_T1.10_a0.50_s2,2,prisoners,HRG,1000,4.0,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.367
prisoners_HRG_T1.10_a0.50_s3,3,prisoners,HRG,1000,4.0,1.1,0.5,1.0,1.0,random,0.5,False,10000,0.326
prisoners_HRG_T1.10_a0.50_s3,3,prisoners,HRG,1000,4.0,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.37
prisoners_HRG_T1.10_a0.50_s4,4,prisoners,HRG,1000,3.998,1.1,0.5,1.0,1.0,random,0.5,False,10000,0.366
prisoners_HRG_T1.10_a0.50_s4,4,prisoners,HRG,1000,3.998,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.373
